GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
finance_module,com.assistant.finance,TransactionRepository,0,20,0,0,0,5,0,3,0,3
finance_module,com.assistant.finance,Transaction,0,27,0,0,0,10,0,5,0,5
finance_module,com.assistant.finance,TransactionService,0,74,0,10,0,16,0,8,0,3
finance_module,com.assistant.finance,TransactionType,0,15,0,0,0,2,0,1,0,1
